Population_id	Lineage	Clade	PC1	He	Pi	Theta	Habitat_suitability	Annual mean fecundity	Sample_size	Distance_to_refuge	Biogeography	Topography
POP1	E-W	South	-0.03108806	0.122306732	0.142464826	96.39847944	0.356429994	5.03	4	0.378471245	CA	CR_CA
POP2	E-W	South	0.206003217	0.133973695	0.142565286	83.62305674	0.337390006	4.68	10	0.843851612	LE	LE
POP3	E-W	South	-0.848894593	0.128830546	0.137243236	70.12034411	0.196986005	3.84	11	0.999349818	LE	LE
POP5	E-W	South	0.79821566	0.134547705	0.145292323	95.47123348	0.467209011	5.76	9	0.099306149	CA	CR_CA
POP8	E-W	South	-1.503888397	0.122983897	0.132665963	68.16075565	0.412963986	4.00	8	0.928449543	LE	LE
POP9	E-W	South	1.538642133	0.140798973	0.151471668	96.70490662	0.311199993	4.58	8	0.609289365	CA	CR_CA
POP11	N	North	-0.211432285	0.124754482	0.140907912	89.557309	0.797397017	5.71	5	0	CR	CR_CA
POP13	E-W	South	1.153027862	0.138845783	0.147022236	95.82386545	0.151508003	3.88	11	0.644484506	LE	LE
POP14	N	North	1.087712704	0.133980417	0.150557551	96.50126327	0.843434989	6.00	5	0	CR	CR_CA
POP15	E-W	South	-0.483270351	0.130360894	0.138137679	76.71343531	0.245619997	3.71	11	0.974865129	LE	LE
POP19	E-W	South	1.334058214	0.137437191	0.147826268	102.1341547	0.57831198	6.05	9	0.226500483	CA	CR_CA
POP21	E-W	South	1.786389904	0.140181234	0.151647003	104.608793	0.700901985	6.00	8	0	CR	CR_CA
POP23	E-W	South	1.501986313	0.138590148	0.149618342	102.2421474	0.352521986	5.30	8	0.494642572	CA	CR_CA
POP25	E-W	South	0.550098472	0.135072444	0.143042125	90.97067506	0.389468014	NA	12	0.795327291	LE	LE
POP26	E-W	South	0.33097386	0.132253934	0.14321626	89.07509052	0.331959993	5.17	8	0.599626537	LE	LE
POP27	E-W	South	0.144778001	0.127122397	0.14426918	90.60728324	0.716744006	4.47	5	0	CR	CR_CA
POP28	N	North	0.964598185	0.135586745	0.144993389	99.00886028	0.745971978	5.74	9	0.236582361	CA	CR_CA
POP29	E-W	South	0.774622717	0.134057349	0.145203718	95.74746224	0.385233015	3.94	8	0.416931832	CA	CR_CA
POP32	N	North	-1.781727218	0.119506597	0.129528372	70.87125676	0.250813007	4.50	8	0.76940752	LE	LE
POP33	N	North	-0.299092231	0.128411934	0.138000968	85.49339903	0.488519996	6.10	9	0.553036399	LE	LE
POP34	E-W	South	1.349247559	0.137973102	0.149366259	99.25983977	0.64943099	5.92	8	0	CR	CR_CA
POP35	E-W	South	1.269944576	0.13927578	0.148196648	96.63582244	0.424524993	3.53	10	0.484905928	CA	CR_CA
POP36	E-W	South	-0.875183194	0.126577789	0.135968941	75.12056001	0.213267997	3.80	10	0.88105704	LE	LE
POP37	E-W	South	1.854498079	0.141928943	0.150925858	104.7918035	0.500217974	5.44	10	0.141403146	CA	CR_CA
