Population_id	lineage	Clade	Habitat_suitability	Annual_mean_fecundity	Sample_size	site1	site2	site3	site4	site5	site6	site7	site8	site9	site10	site11	site12	site13	site14	site15	site16	site17	site18	site19	site20	site21	site22	site23	site24	site25	site26	site27	site28	site29	site30	site31	site32	site33	site34	site35	site36	site37	site38	site39
POP1	E-W	South	0.356429994	5.03	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0.125	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0.25	0	0.75	0.25	0
POP2	E-W	South	0.337390006	4.68	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0.05	0	0	0	0	0	0.95	1	0.05	0	0	0.05	0	1	0	0	0	0.2	0	0.7	0.25	0
POP3	E-W	South	0.196986005	3.84	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.045454545	0	0	0.227272727	0	0	0	0.954545455	1	0	0	0	0.045454545	0	1	0	0	0	0	0	0.954545455	0.045454545	0
POP5	E-W	South	0.467209011	5.76	9	0	0.0625	0	0	0.055555556	0	0	0	0	0	0	0	0	0.055555556	0	0	0.444444444	0	0	0.055555556	0	0	0	0.777777778	1	0.055555556	0	0	0.166666667	0.055555556	1	0	0	0	0.055555556	0	0.777777778	0.222222222	0
POP6	SE-1	South	0.446411997	4.25	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0.6	1	0	0	0	0.35	0	1	0	0	0	0.1	0	0.45	0.4	0
POP8	E-W	South	0.412963986	4.00	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0.375	0	0.5	0.375	0
POP9	E-W	South	0.311199993	4.58	8	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0.0625	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0.125	0	0.875	0.125	0
POP11	N	North	0.797397017	5.71	5	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0.8	0.7	0	0	0.2	0.2	0	1	0	0	0	0	0	0.6	0.2	0
POP12	E	South	0.851122975	5.64	8	0.1875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1875	1	0	0	0	0.8125	0	1	0	0	0	0.0625	0	0.125	0.875	0
POP13	E-W	South	0.151508003	3.88	11	0	0.090909091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227272727	0	0	0.181818182	0	0	0	0.909090909	1	0	0.045454545	0	0.090909091	0	1	0	0	0	0.045454545	0	0.772727273	0.227272727	0
POP14	N	North	0.843434989	6.00	5	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0.7	0.8	0	0	0	0.1	0	0.9	0	0	0	0	0	0.7	0.2	0
POP15	E-W	South	0.245619997	3.71	11	0	0.045454545	0	0	0	0	0	0	0	0.045454545	0	0	0	0	0	0	0.318181818	0	0	0.272727273	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0
POP16	E	South	0.780745983	5.09	9	0.166666667	0	0.055555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222222222	0	0	0.0625	0	0.055555556	0	0.277777778	1	0	0	0	0.611111111	0	1	0	0	0	0	0.055555556	0.333333333	0.555555556	0.111111111
